timestep,entity_id,x,y
0,target_1,50.0,45.0
0,target_2,48.0,50.0
1,target_1,51.882,45.538
1,target_2,47.333,50.539
2,target_1,53.634,46.077
2,target_2,46.667,50.995
3,target_1,55.138,46.615
3,target_2,46.0,51.29
4,target_1,56.304,47.154
4,target_2,45.333,51.363
5,target_1,57.074,47.692
5,target_2,44.667,51.167
6,target_1,57.432,48.231
6,target_2,44.0,50.681
7,target_1,57.406,48.769
7,target_2,43.333,49.907
8,target_1,57.061,49.308
8,target_2,42.667,48.871
9,target_1,56.496,49.846
9,target_2,42.0,47.621
10,target_1,55.832,50.385
10,target_2,41.333,46.222
11,target_1,55.201,50.923
11,target_2,40.667,44.754
12,target_1,54.732,51.462
12,target_2,40.0,43.3
13,target_1,54.536,52.0
13,target_2,39.333,41.943
14,target_1,54.696,52.538
14,target_2,38.667,40.757
15,target_1,55.26,53.077
15,target_2,38.0,39.804
16,target_1,56.232,53.615
16,target_2,37.333,39.125
17,target_1,57.577,54.154
17,target_2,36.667,38.736
18,target_1,59.218,54.692
18,target_2,36.0,38.633
19,target_1,61.051,55.231
19,target_2,35.333,38.786
20,target_1,62.949,55.769
20,target_2,34.667,39.143
21,target_1,64.782,56.308
21,target_2,34.0,39.635
22,target_1,66.423,56.846
22,target_2,33.333,40.184
23,target_1,67.768,57.385
23,target_2,32.667,40.704
24,target_1,68.74,57.923
24,target_2,32.0,41.115
25,target_1,69.304,58.462
25,target_2,31.333,41.342
26,target_1,69.464,59.0
26,target_2,30.667,41.329
27,target_1,69.268,59.538
27,target_2,30.0,41.037
28,target_1,68.799,60.077
28,target_2,29.333,40.454
29,target_1,68.168,60.615
29,target_2,28.667,39.589
30,target_1,67.504,61.154
30,target_2,28.0,38.475
31,target_1,66.939,61.692
31,target_2,27.333,37.167
32,target_1,66.594,62.231
32,target_2,26.667,35.736
33,target_1,66.568,62.769
33,target_2,26.0,34.264
34,target_1,66.926,63.308
34,target_2,25.333,32.833
35,target_1,67.696,63.846
35,target_2,24.667,31.525
36,target_1,68.862,64.385
36,target_2,24.0,30.411
37,target_1,70.366,64.923
37,target_2,23.333,29.546
38,target_1,72.118,65.462
38,target_2,22.667,28.963
39,target_1,74.0,66.0
39,target_2,22.0,28.671
